"Choux rose framboises","Ingrédients : framboise, oeuf, lait, farine, beurre, eau, maïzena, selCommencez par préparer la crème pâtissière, faites chauffer doucement le lait. dans un grand saladier,...","1h05","false","facile"
"Cookies tout chocolat","Ingrédients : oeuf, levure, farine, cassonade, sucre vanillé, beurre, cacao, sel, chocolatIncorporer le sucre roux au beurre travaillé en pommade (bien mou à température ambiante mais pas liquide). il faut...","18 min","false","très facile"
"Banoffee Cheesecake","Ingrédients : lait concentré sucré, oeuf, banane, beurre demi-sel, vanille, mascarpone, sucre, biscuitMettre la boîte de lait concentré au bain-marie pendant au moins 2 heures (ne pas oublier de refaire le plein d...","5 h","true","facile"
"Eclairs au café","Ingrédients : oeuf, extrait de café, lait, Jaune d oeuf, farine, beurre, eau, fondant, maïzena, sel, sucrePâte à choux : faire bouillir l eau, le beurre, le sucre et le sel. hors du feu, verser d un coup...","1h20","true","Niveau moyen"
"Porc au caramel","Ingrédients : échalote, nuoc mam, Viandes, riz basmati, oignon, ail, caramelHacher les oignons, l ail et les échalotes, couper la viande en petits morceaux. dans une poêle faire revenir la viande dans un peu...","40 min","false","très facile"
"Café Mocha","Ingrédients : lait, chocolat noir, sucre vanillé, café, cacao, extrait de vanille liquide, cannelle, crème chantillyChauffer le lait sur feu doux avec le sucre vanillé et l extrait de vanille. ne pas faire...","20 min","false",""
"Café noisette","Ingrédients : lait, caféNavrée pour les gourmands en quête de saveur insolite mais le café noisette n est qu un café auquel a été ajouté une goutte de lait (il devient brun, d où son...","1 min","false","très facile"
"Fondant au chocolat","Ingrédients : sucre semoule, oeuf, beurre doux, farine, chocolatPréchauffer le four à 180°c (thermostat 6). faire fondre le chocolat et le beurre au bain-marie à feu doux, ou au micro-ondes sur le...","35 min","false","très facile"
"Viennois au café","Ingrédients : oeuf, sucre en poudre, lait, crème, café, maïzena, sucre glaceDiluer petit à petit la maïzena dans le lait en veillant à ce qu aucun grumeau ne se forme dans une casserole. ajouter le sucre...","25 min","false","facile"
"Charlotte aux framboises sans gluten","Ingrédients : fleur d hibiscus, framboise, huile, yaourts, beurre, gélatine, fromage blanc, biscuits de Savoie SchärMettre la gélatine à ramollir dans de l eau froide. mettre...","2 h","false","Niveau moyen"
"Tarte au café","Ingrédients : oeuf, extrait de café, beurre, amande, pâte brisée, sucreEtaler la pâte brisée, la plcer dans un moule à tarte beurré. piquer le fond à la fourchette. dans une casserole, faire fondre le...","1 h","false","facile"
"Tarte Soleil au Nutella®","Ingrédients : sucre semoule, citron, oeuf, pomme, pâte feuilletée, beurre, cannelle, Nutella®Pelez et coupez les pommes en petits cubes. mettez-les dans un bol et ajoutez...","1h05","false","facile"
